scenario,seed,n,model,AUROC,PR_AUC,Brier
moderate_signal,11,1500,LogisticRegression,0.6812,0.4506,0.2229
moderate_signal,12,1500,LogisticRegression,0.6865,0.4449,0.2228
moderate_signal,13,1500,LogisticRegression,0.681,0.4656,0.223
moderate_signal,14,1500,LogisticRegression,0.6815,0.4458,0.2227
moderate_signal,15,1500,LogisticRegression,0.6769,0.4247,0.2254
moderate_signal,16,1500,LogisticRegression,0.668,0.4091,0.2283
moderate_signal,17,1500,LogisticRegression,0.6745,0.4295,0.2251
moderate_signal,18,1500,LogisticRegression,0.6768,0.4331,0.2244
moderate_signal,19,1500,LogisticRegression,0.688,0.4184,0.2227
moderate_signal,20,1500,LogisticRegression,0.6684,0.4293,0.2273
moderate_signal,21,1500,LogisticRegression,0.6265,0.3773,0.2366
moderate_signal,22,1500,LogisticRegression,0.677,0.4229,0.2261
moderate_signal,23,1500,LogisticRegression,0.6768,0.4121,0.2257
moderate_signal,24,1500,LogisticRegression,0.6576,0.4036,0.2304
moderate_signal,25,1500,LogisticRegression,0.6769,0.4304,0.2265
moderate_signal,26,1500,LogisticRegression,0.6657,0.4137,0.228
moderate_signal,27,1500,LogisticRegression,0.7008,0.4439,0.2192
moderate_signal,28,1500,LogisticRegression,0.7056,0.4717,0.2166
moderate_signal,29,1500,LogisticRegression,0.6699,0.4272,0.2254
moderate_signal,30,1500,LogisticRegression,0.6772,0.423,0.2252
moderate_signal,31,1500,LogisticRegression,0.6946,0.4677,0.22
moderate_signal,32,1500,LogisticRegression,0.6565,0.4047,0.2296
moderate_signal,33,1500,LogisticRegression,0.671,0.4512,0.2249
moderate_signal,34,1500,LogisticRegression,0.6489,0.3673,0.2336
moderate_signal,35,1500,LogisticRegression,0.6875,0.4525,0.2219
moderate_signal,36,1500,LogisticRegression,0.674,0.4205,0.2277
moderate_signal,37,1500,LogisticRegression,0.6847,0.4283,0.2247
moderate_signal,38,1500,LogisticRegression,0.6693,0.4268,0.227
moderate_signal,39,1500,LogisticRegression,0.6784,0.441,0.223
moderate_signal,40,1500,LogisticRegression,0.6686,0.4106,0.2287
moderate_signal,41,1500,LogisticRegression,0.6589,0.4142,0.2293
moderate_signal,42,1500,LogisticRegression,0.698,0.4632,0.2178
moderate_signal,43,1500,LogisticRegression,0.669,0.4316,0.2261
moderate_signal,44,1500,LogisticRegression,0.6582,0.4069,0.2295
moderate_signal,45,1500,LogisticRegression,0.6676,0.4379,0.228
moderate_signal,46,1500,LogisticRegression,0.6459,0.4019,0.2315
moderate_signal,47,1500,LogisticRegression,0.6923,0.4644,0.2208
