scenario,mechanism,target_rate,actual_miss_rate,strategy,seed,AUROC,Brier,n_folds
MCAR_20pct,MCAR,0.2,0.2,fold_impute,7,0.5159,0.2508,5
MCAR_20pct,MCAR,0.2,0.2,fold_impute,8,0.5081,0.2506,5
MCAR_20pct,MCAR,0.2,0.2,fold_impute,9,0.4939,0.2526,5
MCAR_20pct,MCAR,0.2,0.2,fold_impute,10,0.5158,0.251,5
MCAR_20pct,MCAR,0.2,0.2,fold_impute,11,0.5191,0.252,5
MCAR_20pct,MCAR,0.2,0.2,fold_impute,12,0.5147,0.2514,5
MCAR_20pct,MCAR,0.2,0.2,fold_impute,13,0.5132,0.2508,5
MCAR_20pct,MCAR,0.2,0.2,fold_impute,14,0.5166,0.2512,5
MCAR_20pct,MCAR,0.2,0.2,fold_impute,15,0.5449,0.2487,5
MCAR_20pct,MCAR,0.2,0.2,fold_impute,16,0.5188,0.2508,5
MCAR_20pct,MCAR,0.2,0.2,fold_impute,17,0.4737,0.2531,5
MCAR_20pct,MCAR,0.2,0.2,fold_impute,18,0.4921,0.2524,5
MCAR_20pct,MCAR,0.2,0.2,fold_impute,19,0.4798,0.2524,5
MCAR_20pct,MCAR,0.2,0.2,fold_impute,20,0.5034,0.2517,5
MCAR_20pct,MCAR,0.2,0.2,global_impute,1,0.5006,0.2517,5
MCAR_20pct,MCAR,0.2,0.2,global_impute,2,0.4758,0.2532,5
MCAR_20pct,MCAR,0.2,0.2,global_impute,3,0.5181,0.251,5
MCAR_20pct,MCAR,0.2,0.2,global_impute,4,0.5046,0.2515,5
MCAR_20pct,MCAR,0.2,0.2,global_impute,5,0.4722,0.2524,5
MCAR_20pct,MCAR,0.2,0.2,global_impute,6,0.4918,0.2522,5
MCAR_20pct,MCAR,0.2,0.2,global_impute,7,0.5145,0.2509,5
MCAR_20pct,MCAR,0.2,0.2,global_impute,8,0.5088,0.2505,5
MCAR_20pct,MCAR,0.2,0.2,global_impute,9,0.4933,0.2526,5
MCAR_20pct,MCAR,0.2,0.2,global_impute,10,0.5156,0.2511,5
MCAR_20pct,MCAR,0.2,0.2,global_impute,11,0.5193,0.2522,5
MCAR_20pct,MCAR,0.2,0.2,global_impute,12,0.5146,0.2514,5
MCAR_20pct,MCAR,0.2,0.2,global_impute,13,0.5127,0.2508,5
MCAR_20pct,MCAR,0.2,0.2,global_impute,14,0.5178,0.2511,5
MCAR_20pct,MCAR,0.2,0.2,global_impute,15,0.5447,0.2487,5
MCAR_20pct,MCAR,0.2,0.2,global_impute,16,0.5177,0.2508,5
MCAR_20pct,MCAR,0.2,0.2,global_impute,17,0.4743,0.253,5
MCAR_20pct,MCAR,0.2,0.2,global_impute,18,0.4922,0.2524,5
MCAR_20pct,MCAR,0.2,0.2,global_impute,19,0.4791,0.2524,5
MCAR_20pct,MCAR,0.2,0.2,global_impute,20,0.5038,0.2518,5
MAR_bmi,MAR,0.1,0.0855,fold_impute,1,0.5016,0.2517,5
MAR_bmi,MAR,0.1,0.0815,fold_impute,2,0.496,0.2525,5
MAR_bmi,MAR,0.1,0.0895,fold_impute,3,0.5041,0.2508,5
MAR_bmi,MAR,0.1,0.0847,fold_impute,4,0.52,0.2506,5
MAR_bmi,MAR,0.1,0.0863,fold_impute,5,0.4816,0.2518,5
MAR_bmi,MAR,0.1,0.0828,fold_impute,6,0.4997,0.2521,5
MAR_bmi,MAR,0.1,0.0835,fold_impute,7,0.4925,0.2536,5
MAR_bmi,MAR,0.1,0.0735,fold_impute,8,0.5032,0.2507,5
MAR_bmi,MAR,0.1,0.077,fold_impute,9,0.4985,0.2524,5
MAR_bmi,MAR,0.1,0.0765,fold_impute,10,0.5268,0.2504,5
MAR_bmi,MAR,0.1,0.0872,fold_impute,11,0.5207,0.2522,5
MAR_bmi,MAR,0.1,0.0868,fold_impute,12,0.5065,0.2518,5
MAR_bmi,MAR,0.1,0.0813,fold_impute,13,0.5062,0.2518,5
MAR_bmi,MAR,0.1,0.0832,fold_impute,14,0.5412,0.2492,5
MAR_bmi,MAR,0.1,0.0803,fold_impute,15,0.5451,0.2488,5
MAR_bmi,MAR,0.1,0.084,fold_impute,16,0.5243,0.2501,5
MAR_bmi,MAR,0.1,0.0812,fold_impute,17,0.4917,0.2525,5
MAR_bmi,MAR,0.1,0.0833,fold_impute,18,0.4952,0.2518,5
MAR_bmi,MAR,0.1,0.0873,fold_impute,19,0.507,0.251,5
MAR_bmi,MAR,0.1,0.0862,fold_impute,20,0.524,0.2509,5
MAR_bmi,MAR,0.1,0.0855,global_impute,1,0.5027,0.2517,5
MAR_bmi,MAR,0.1,0.0815,global_impute,2,0.4953,0.2526,5
MAR_bmi,MAR,0.1,0.0895,global_impute,3,0.5021,0.2509,5
MAR_bmi,MAR,0.1,0.0847,global_impute,4,0.5199,0.2505,5
MAR_bmi,MAR,0.1,0.0863,global_impute,5,0.4822,0.2518,5
MAR_bmi,MAR,0.1,0.0828,global_impute,6,0.5005,0.2521,5
MAR_bmi,MAR,0.1,0.0835,global_impute,7,0.4914,0.2536,5
MAR_bmi,MAR,0.1,0.0735,global_impute,8,0.5018,0.2508,5
MAR_bmi,MAR,0.1,0.077,global_impute,9,0.4974,0.2525,5
MAR_bmi,MAR,0.1,0.0765,global_impute,10,0.5271,0.2504,5
MAR_bmi,MAR,0.1,0.0872,global_impute,11,0.5213,0.2522,5
MAR_bmi,MAR,0.1,0.0868,global_impute,12,0.5059,0.2519,5
