scenario,n,seed,clean_AUROC,clean_Brier,in_null_range,leaky_AUROC,leaky_Brier,auc_inflation
null,750,27,0.53865,0.24972,1,,,
null,750,28,0.47364,0.25294,1,,,
null,750,29,0.51169,0.25091,1,,,
null,750,30,0.47755,0.255,1,,,
weak_signal,750,1,0.58421,0.24425,0,,,
weak_signal,750,2,0.55899,0.24714,0,,,
weak_signal,750,3,0.58232,0.24449,0,,,
weak_signal,750,4,0.59509,0.24469,0,,,
weak_signal,750,5,0.58076,0.24519,0,,,
weak_signal,750,6,0.59085,0.24216,0,,,
weak_signal,750,7,0.58022,0.24464,0,,,
weak_signal,750,8,0.52011,0.25227,1,,,
weak_signal,750,9,0.60415,0.24307,0,,,
weak_signal,750,10,0.61051,0.24021,0,,,
weak_signal,750,11,0.56528,0.24753,0,,,
weak_signal,750,12,0.59582,0.24386,0,,,
weak_signal,750,13,0.55164,0.2471,0,,,
weak_signal,750,14,0.5996,0.24246,0,,,
weak_signal,750,15,0.55684,0.2501,0,,,
weak_signal,750,16,0.59431,0.24294,0,,,
weak_signal,750,17,0.55514,0.247,0,,,
weak_signal,750,18,0.531,0.25195,1,,,
weak_signal,750,19,0.57136,0.24727,0,,,
weak_signal,750,20,0.58617,0.24617,0,,,
weak_signal,750,21,0.53522,0.25007,1,,,
weak_signal,750,22,0.52231,0.25131,1,,,
weak_signal,750,23,0.55698,0.24914,0,,,
weak_signal,750,24,0.60519,0.24262,0,,,
weak_signal,750,25,0.55426,0.25044,0,,,
weak_signal,750,26,0.59271,0.24485,0,,,
weak_signal,750,27,0.61205,0.23978,0,,,
weak_signal,750,28,0.61574,0.23924,0,,,
weak_signal,750,29,0.55552,0.24868,0,,,
weak_signal,750,30,0.60213,0.24243,0,,,
moderate_signal,750,1,0.6521,0.23004,0,,,
moderate_signal,750,2,0.70159,0.21876,0,,,
moderate_signal,750,3,0.65726,0.22959,0,,,
moderate_signal,750,4,0.64866,0.2316,0,,,
moderate_signal,750,5,0.69578,0.21961,0,,,
moderate_signal,750,6,0.6888,0.22345,0,,,
moderate_signal,750,7,0.68366,0.22484,0,,,
moderate_signal,750,8,0.6783,0.22405,0,,,
moderate_signal,750,9,0.6821,0.22224,0,,,
moderate_signal,750,10,0.61511,0.23763,0,,,
moderate_signal,750,11,0.6716,0.22913,0,,,
moderate_signal,750,12,0.66556,0.22673,0,,,
moderate_signal,750,13,0.62308,0.2383,0,,,
moderate_signal,750,14,0.68324,0.22469,0,,,
moderate_signal,750,15,0.61361,0.24071,0,,,
moderate_signal,750,16,0.6921,0.2231,0,,,
moderate_signal,750,17,0.73965,0.20497,0,,,
moderate_signal,750,18,0.66067,0.22815,0,,,
moderate_signal,750,19,0.64453,0.23301,0,,,
moderate_signal,750,20,0.68927,0.22377,0,,,
moderate_signal,750,21,0.65094,0.23424,0,,,
moderate_signal,750,22,0.60919,0.23978,0,,,
moderate_signal,750,23,0.66989,0.22677,0,,,
moderate_signal,750,24,0.69627,0.2185,0,,,
moderate_signal,750,25,0.6849,0.22208,0,,,
moderate_signal,750,26,0.6654,0.22878,0,,,
moderate_signal,750,27,0.6837,0.22308,0,,,
moderate_signal,750,28,0.71809,0.2146,0,,,
moderate_signal,750,29,0.66176,0.22991,0,,,
moderate_signal,750,30,0.66187,0.22892,0,,,
wbv_positive,750,1,0.82658,0.16824,0,,,
wbv_positive,750,2,0.81787,0.17462,0,,,
wbv_positive,750,3,0.86205,0.15556,0,,,
