pipeline,model,seed,AUROC_mean_folds,PR_AUC_mean_folds,n_folds_valid,cohort,label
leaky_discharge_location,LogisticRegression,9,0.9796473716093071,0.4575526920214433,5,MIMIC,label_mortality
leaky_discharge_location,RandomForest,9,0.9979300117489942,0.9748538681299708,5,MIMIC,label_mortality
leaky_discharge_location,SVM,9,0.9788349660380449,0.3989597637334373,5,MIMIC,label_mortality
leaky_discharge_location,XGBoost,9,0.9982083683656529,0.9810712977177811,5,MIMIC,label_mortality
leaky_discharge_location,LogisticRegression,10,0.9804630738108606,0.46790846361179844,5,MIMIC,label_mortality
leaky_discharge_location,RandomForest,10,0.9981212379550133,0.9746118079329221,5,MIMIC,label_mortality
leaky_discharge_location,SVM,10,0.979718162065421,0.4106322766683551,5,MIMIC,label_mortality
leaky_discharge_location,XGBoost,10,0.9986393256148542,0.9850236291700801,5,MIMIC,label_mortality
leaky_discharge_location,LogisticRegression,11,0.9811550976407661,0.4621506355268859,5,MIMIC,label_mortality
leaky_discharge_location,RandomForest,11,0.9976739020264607,0.9780220612662431,5,MIMIC,label_mortality
leaky_discharge_location,SVM,11,0.9800552470887263,0.4099149405412912,5,MIMIC,label_mortality
leaky_discharge_location,XGBoost,11,0.9988094202801532,0.983376069958339,5,MIMIC,label_mortality
leaky_discharge_location,LogisticRegression,12,0.9816350059910741,0.47061651213322475,5,MIMIC,label_mortality
leaky_discharge_location,RandomForest,12,0.9981700994392227,0.9779461974970947,5,MIMIC,label_mortality
leaky_discharge_location,SVM,12,0.9803347917064691,0.41184048142880003,5,MIMIC,label_mortality
leaky_discharge_location,XGBoost,12,0.9984210260291662,0.9868658011925303,5,MIMIC,label_mortality
leaky_discharge_location,LogisticRegression,13,0.9805205493781161,0.46193333106287116,5,MIMIC,label_mortality
leaky_discharge_location,RandomForest,13,0.998154253809912,0.9772607829892609,5,MIMIC,label_mortality
leaky_discharge_location,SVM,13,0.9795640560160004,0.40634862911947167,5,MIMIC,label_mortality
leaky_discharge_location,XGBoost,13,0.9982281519183376,0.978629528222697,5,MIMIC,label_mortality
leaky_discharge_location,LogisticRegression,14,0.979771317161734,0.4549314944946916,5,MIMIC,label_mortality
leaky_discharge_location,RandomForest,14,0.9981453963196133,0.9801148046189789,5,MIMIC,label_mortality
leaky_discharge_location,SVM,14,0.97910362596983,0.39859037333350483,5,MIMIC,label_mortality
leaky_discharge_location,XGBoost,14,0.9980814929455464,0.9854346253359287,5,MIMIC,label_mortality
leaky_discharge_location,LogisticRegression,15,0.980223911091046,0.45761410945194453,5,MIMIC,label_mortality
leaky_discharge_location,RandomForest,15,0.9977263279190651,0.9734691628500469,5,MIMIC,label_mortality
leaky_discharge_location,SVM,15,0.9794279147380139,0.40452863776206305,5,MIMIC,label_mortality
leaky_discharge_location,XGBoost,15,0.9984888436413806,0.9857690756750428,5,MIMIC,label_mortality
leaky_discharge_location,LogisticRegression,16,0.9809276525321714,0.4618728469279664,5,MIMIC,label_mortality
leaky_discharge_location,RandomForest,16,0.9980926440799113,0.9756076290276539,5,MIMIC,label_mortality
leaky_discharge_location,SVM,16,0.9798186677206925,0.4054876076574062,5,MIMIC,label_mortality
leaky_discharge_location,XGBoost,16,0.9988233644428807,0.9863826381161289,5,MIMIC,label_mortality
leaky_discharge_location,LogisticRegression,17,0.9801671211903134,0.4574031831393605,5,MIMIC,label_mortality
leaky_discharge_location,RandomForest,17,0.998039111012057,0.9761308002112792,5,MIMIC,label_mortality
leaky_discharge_location,SVM,17,0.9792267355584299,0.40105014464272,5,MIMIC,label_mortality
leaky_discharge_location,XGBoost,17,0.9978894973903992,0.9822971795056553,5,MIMIC,label_mortality
leaky_discharge_location,LogisticRegression,18,0.979363782962532,0.4584786591234378,5,MIMIC,label_mortality
leaky_discharge_location,RandomForest,18,0.9983723003818067,0.9758793673123666,5,MIMIC,label_mortality
leaky_discharge_location,SVM,18,0.9785341834804555,0.4036935571442767,5,MIMIC,label_mortality
leaky_discharge_location,XGBoost,18,0.9982591352899541,0.9842507842833349,5,MIMIC,label_mortality
leaky_discharge_location,LogisticRegression,19,0.9809394049128877,0.4697800093532264,5,MIMIC,label_mortality
leaky_discharge_location,RandomForest,19,0.9979902525352479,0.9761806136441968,5,MIMIC,label_mortality
leaky_discharge_location,SVM,19,0.9800922099723064,0.4123910839674603,5,MIMIC,label_mortality
leaky_discharge_location,XGBoost,19,0.9982687692453369,0.9818305628250592,5,MIMIC,label_mortality
leaky_discharge_location,LogisticRegression,20,0.9794995187089311,0.4510942509370401,5,MIMIC,label_mortality
leaky_discharge_location,RandomForest,20,0.9986010146081915,0.9815052387856678,5,MIMIC,label_mortality
leaky_discharge_location,SVM,20,0.9789273841079179,0.39766360988470134,5,MIMIC,label_mortality
leaky_discharge_location,XGBoost,20,0.9986034963991764,0.9870251387971856,5,MIMIC,label_mortality
leaky_discharge_location,LogisticRegression,21,0.9794707683710946,0.4580780132938821,5,MIMIC,label_mortality
leaky_discharge_location,RandomForest,21,0.9986146501357999,0.9791164178886815,5,MIMIC,label_mortality
