pipeline,model,seed,AUROC_mean_folds,PR_AUC_mean_folds,n_folds_valid,cohort,label
leaky_discharge_location,XGBoost,10,0.989303787874432,0.7274418263185725,5,eICU,label24h
leaky_discharge_location,LogisticRegression,11,0.9857792806982418,0.6092052136006889,5,eICU,label24h
leaky_discharge_location,RandomForest,11,0.9876201492053014,0.685176376932598,5,eICU,label24h
leaky_discharge_location,SVM,11,0.9856192722572091,0.602055524579533,5,eICU,label24h
leaky_discharge_location,XGBoost,11,0.9893221483662156,0.7269506727034664,5,eICU,label24h
leaky_discharge_location,LogisticRegression,12,0.9857310046483676,0.6097769969737403,5,eICU,label24h
leaky_discharge_location,RandomForest,12,0.9875465965714731,0.6833543859711652,5,eICU,label24h
leaky_discharge_location,SVM,12,0.9855739710933522,0.6025729908854496,5,eICU,label24h
leaky_discharge_location,XGBoost,12,0.9893013244826154,0.7270677093156064,5,eICU,label24h
leaky_discharge_location,LogisticRegression,13,0.9857398719966846,0.609139976114179,5,eICU,label24h
leaky_discharge_location,RandomForest,13,0.9876135172551935,0.6853324155515033,5,eICU,label24h
leaky_discharge_location,SVM,13,0.985573270213137,0.6015838141775525,5,eICU,label24h
leaky_discharge_location,XGBoost,13,0.9893068878270194,0.7269252432390159,5,eICU,label24h
leaky_discharge_location,LogisticRegression,14,0.9857810068097888,0.6098452825263474,5,eICU,label24h
leaky_discharge_location,RandomForest,14,0.9876985187346794,0.6870208180676259,5,eICU,label24h
leaky_discharge_location,SVM,14,0.9856091008331479,0.6022742917361025,5,eICU,label24h
leaky_discharge_location,XGBoost,14,0.9893317137877675,0.7262100922073784,5,eICU,label24h
leaky_discharge_location,LogisticRegression,15,0.9857558691171704,0.6099190779788028,5,eICU,label24h
leaky_discharge_location,RandomForest,15,0.9876060962361388,0.6855926860115146,5,eICU,label24h
leaky_discharge_location,SVM,15,0.9856045058881238,0.6025341651979713,5,eICU,label24h
leaky_discharge_location,XGBoost,15,0.9893122781539315,0.7283479617495328,5,eICU,label24h
leaky_discharge_location,LogisticRegression,16,0.9857673669644325,0.6101950556869034,5,eICU,label24h
leaky_discharge_location,RandomForest,16,0.9876036308712516,0.6856672721047584,5,eICU,label24h
